sku;urun_adi;kategori_kodu;kategori_adi;alt_tip;agirlik_gr;boyut_beden;materyal;koli_ici;fotograf_dosya;aktif;notlar
PL-TOP-018;Zıp Zıp Top;PL;PL - Plastik Toplar;Özel;;60 cm;PVC;;PL-TOP-018.jpg;Evet;
PL-TOP-019;Şişme Hayvan;PL;PL - Plastik Toplar;Şişme;;;PVC;;PL-TOP-019.jpg;Evet;
PL-TOP-020;Plastik Tabanca Boncuğu;PL;PL - Plastik Toplar;Özel;;;PVC;;PL-TOP-020.jpg;Evet;
PL-TOP-021;Stres Topu Küçük;PL;PL - Plastik Toplar;Stres Topu;;Küçük;PVC;;PL-TOP-021.jpg;Evet;
PL-TOP-022;Stres Topu Orta;PL;PL - Plastik Toplar;Stres Topu;;Orta;PVC;;PL-TOP-022.jpg;Evet;
PL-TOP-023;Stres Topu Büyük;PL;PL - Plastik Toplar;Stres Topu;;Büyük;PVC;;PL-TOP-023.jpg;Evet;
AK-PMP-001;Şişirme Pompası Büyük;AK;AK - Aksesuar;Pompa;;50 cm;Metal;50;AK-PMP-001.jpg;Evet;
AK-PMP-002;Şişirme Pompası Küçük;AK;AK - Aksesuar;Pompa;;30 cm;Metal;100;AK-PMP-002.jpg;Evet;
AK-PMP-003;Dijital Şarjlı Pompa Model 1;AK;AK - Aksesuar;Pompa Dijital;;;;;AK-PMP-003.jpg;Evet;
AK-PMP-004;Dijital Şarjlı Pompa Model 2;AK;AK - Aksesuar;Pompa Dijital;;;;;AK-PMP-004.jpg;Evet;
AK-BDM-001;Badminton Seti Fileli;AK;AK - Aksesuar;Badminton;;;;50;AK-BDM-001.jpg;Evet;
AK-BDM-002;Badminton Seti Çantalı;AK;AK - Aksesuar;Badminton;;;;50;AK-BDM-002.jpg;Evet;Çanta dahil
AK-BDM-003;Badminton Seti Renkli;AK;AK - Aksesuar;Badminton;;;;50;AK-BDM-003.jpg;Evet;
AK-BDT-001;Badminton Topu Tüp;AK;AK - Aksesuar;Badminton;;;;100;AK-BDT-001.jpg;Evet;6'lı tüp
AK-MTS-001;Masa Tenisi Seti;AK;AK - Aksesuar;Masa Tenisi;;;;50;AK-MTS-001.jpg;Evet;2 raket + 3 top
AK-MTS-002;Masa Tenisi Seti Fileli;AK;AK - Aksesuar;Masa Tenisi;;;;50;AK-MTS-002.jpg;Evet;File dahil
AK-MTS-003;Masa Tenisi Seti Çantalı;AK;AK - Aksesuar;Masa Tenisi;;;;50;AK-MTS-003.jpg;Evet;Çanta dahil
AK-MTS-004;Masa Tenisi Raketi 4 Yıldız;AK;AK - Aksesuar;Masa Tenisi;;;;50;AK-MTS-004.jpg;Evet;
AK-MTS-005;Masa Tenisi Raketi 5 Yıldız;AK;AK - Aksesuar;Masa Tenisi;;;;50;AK-MTS-005.jpg;Evet;
AK-ELD-001;Kaleci Eldiveni No.5;AK;AK - Aksesuar;Eldiven;;No.5;;;AK-ELD-001.jpg;Evet;
AK-ELD-002;Kaleci Eldiveni No.6;AK;AK - Aksesuar;Eldiven;;No.6;;;AK-ELD-002.jpg;Evet;
AK-ELD-003;Kaleci Eldiveni No.7;AK;AK - Aksesuar;Eldiven;;No.7;;;AK-ELD-003.jpg;Evet;
AK-ELD-004;Kaleci Eldiveni No.8;AK;AK - Aksesuar;Eldiven;;No.8;;;AK-ELD-004.jpg;Evet;
AK-ELD-005;Kaleci Eldiveni No.9;AK;AK - Aksesuar;Eldiven;;No.9;;;AK-ELD-005.jpg;Evet;
AK-ELD-006;Kaleci Eldiveni No.10;AK;AK - Aksesuar;Eldiven;;No.10;;;AK-ELD-006.jpg;Evet;
AK-ELY-001;El Yayı Grip Strength;AK;AK - Aksesuar;Fitness;;;;100;AK-ELY-001.jpg;Evet;3 renk
AK-ELY-002;El Yayı Sayaçlı;AK;AK - Aksesuar;Fitness;;;;100;AK-ELY-002.jpg;Evet;
AK-DRN-001;Direnç Bandı;AK;AK - Aksesuar;Fitness;;;;;AK-DRN-001.jpg;Evet;
AK-DRT-001;"Dart Tahtası 12""";AK;AK - Aksesuar;Dart;;12 inç;;;AK-DRT-001.jpg;Evet;
AK-DRT-002;"Dart Tahtası 15""";AK;AK - Aksesuar;Dart;;15 inç;;;AK-DRT-002.jpg;Evet;
AK-DRT-003;"Dart Tahtası 17""";AK;AK - Aksesuar;Dart;;17 inç;;;AK-DRT-003.jpg;Evet;
AK-DRT-004;Mıknatıslı Dart;AK;AK - Aksesuar;Dart;;;;;AK-DRT-004.jpg;Evet;
AK-ATL-001;Atlama İpi Sayaçlı;AK;AK - Aksesuar;Atlama İpi;;;;100;AK-ATL-001.jpg;Evet;
AK-ATL-002;Atlama İpi Ucuz;AK;AK - Aksesuar;Atlama İpi;;;;;AK-ATL-002.jpg;Evet;
AK-KUM-001;Kum Torbası Küçük;AK;AK - Aksesuar;Kum Torbası;;;;;AK-KUM-001.jpg;Evet;
AK-KUM-002;Kum Torbası Büyük;AK;AK - Aksesuar;Kum Torbası;;;;;AK-KUM-002.jpg;Evet;
AK-PAZ-001;Kaptanlık Pazubandı;AK;AK - Aksesuar;Pazubandı;;;;;AK-PAZ-001.jpg;Evet;
AK-PAZ-002;Pro Kaptanlık Pazubandı;AK;AK - Aksesuar;Pazubandı;;;;;AK-PAZ-002.jpg;Evet;
AK-DEN-001;Deniz Bonesi;AK;AK - Aksesuar;Deniz;;;;;AK-DEN-001.jpg;Evet;
AK-DEN-002;Silikon Bone;AK;AK - Aksesuar;Deniz;;;Silikon;;AK-DEN-002.jpg;Evet;
AK-DEN-003;Deniz Gözlüğü Model 1;AK;AK - Aksesuar;Deniz;;;;;AK-DEN-003.jpg;Evet;
AK-DEN-004;Deniz Gözlüğü Model 2;AK;AK - Aksesuar;Deniz;;;;;AK-DEN-004.jpg;Evet;
AK-DEN-005;Deniz Gözlüğü Model 3;AK;AK - Aksesuar;Deniz;;;;;AK-DEN-005.jpg;Evet;
AK-DEN-006;Deniz Gözlüğü Model 4;AK;AK - Aksesuar;Deniz;;;;;AK-DEN-006.jpg;Evet;
AK-DEN-007;Deniz Gözlüğü Model 5;AK;AK - Aksesuar;Deniz;;;;;AK-DEN-007.jpg;Evet;
AK-BYZ-001;Beyzbol Topu;AK;AK - Aksesuar;Beyzbol;;;;100;AK-BYZ-001.jpg;Evet;
AK-SHY-001;Şişme Hayvan;AK;AK - Aksesuar;Şişme;;;PVC;50;AK-SHY-001.jpg;Evet;Büyük boy
AK-ZZT-001;Kulplu Zip Zip Top;AK;AK - Aksesuar;Oyuncak;300;45 cm;PVC;100;AK-ZZT-001.jpg;Evet;
AK-AMF-001;Amerikan Futbol Topu;AK;AK - Aksesuar;Amerikan Futbol;;;;50;AK-AMF-001.jpg;Evet;
AK-AYO-001;At Yapıştır Oyuncak;AK;AK - Aksesuar;Oyuncak;;;;50;AK-AYO-001.jpg;Evet;
AK-AYO-002;At Tut Oyuncak;AK;AK - Aksesuar;Oyuncak;;;;50;AK-AYO-002.jpg;Evet;
AK-SCO-001;Scooter;AK;AK - Aksesuar;Scooter;;;;50;AK-SCO-001.jpg;Evet;
AK-MAT-001;Mat;AK;AK - Aksesuar;Mat;;;;50;AK-MAT-001.jpg;Evet;
SP-TEK-001;Tekmelik S Beden;SP;SP - Spor Ekipmanları;Tekmelik;;S;;;SP-TEK-001.jpg;Evet;
SP-TEK-002;Tekmelik M Beden;SP;SP - Spor Ekipmanları;Tekmelik;;M;;;SP-TEK-002.jpg;Evet;
SP-TEK-003;Tekmelik L Beden;SP;SP - Spor Ekipmanları;Tekmelik;;L;;;SP-TEK-003.jpg;Evet;
SP-PAT-001;Paten S Beden;SP;SP - Spor Ekipmanları;Paten;;31-34;;;SP-PAT-001.jpg;Evet;
SP-PAT-002;Paten M Beden;SP;SP - Spor Ekipmanları;Paten;;35-38;;;SP-PAT-002.jpg;Evet;
SP-PAT-003;Paten L Beden;SP;SP - Spor Ekipmanları;Paten;;39-42;;;SP-PAT-003.jpg;Evet;
SP-KAY-001;Kaykay Kanada Ağacı ABEC 7;SP;SP - Spor Ekipmanları;Kaykay;;;;;SP-KAY-001.jpg;Evet;
SP-TEN-001;Kort Tenisi Raketi;SP;SP - Spor Ekipmanları;Tenis;;;;;SP-TEN-001.jpg;Evet;
SP-HOL-001;Holihop Neon 60cm;SP;SP - Spor Ekipmanları;Holihop;;60 cm;;;SP-HOL-001.jpg;Evet;
SP-HOL-002;Holihop Parlak Küçük;SP;SP - Spor Ekipmanları;Holihop;;Küçük;;;SP-HOL-002.jpg;Evet;
SP-HOL-003;Holihop Parlak Orta;SP;SP - Spor Ekipmanları;Holihop;;Orta;;;SP-HOL-003.jpg;Evet;
SP-HOL-004;Holihop Parlak Büyük;SP;SP - Spor Ekipmanları;Holihop;;Büyük;;;SP-HOL-004.jpg;Evet;
